file,price_price,price_price_ls,price_weight,price_weight_ls,price_size,price_elems,price_elems_ls,price_time,price_time_ls,weight_price,weight_price_ls,weight_weight,weight_weight_ls,weight_size,weight_elems,weight_elems_ls,weight_time,weight_time_ls,side_linear_price,side_linear_price_ls,side_linear_weight,side_linear_weight_ls,side_linear_size,side_linear_elems,side_linear_elems_ls,side_linear_time,side_linear_time_ls,side_quad_price,side_quad_price_ls,side_quad_weight,side_quad_weight_ls,side_quad_size,side_quad_elems,side_quad_elems_ls,side_quad_time,side_quad_time_ls,combined_linear_price,combined_linear_price_ls,combined_linear_weight,combined_linear_weight_ls,combined_linear_size,combined_linear_elems,combined_linear_elems_ls,combined_linear_time,combined_linear_time_ls,combined_quad_price,combined_quad_price_ls,combined_quad_weight,combined_quad_weight_ls,combined_quad_size,combined_quad_elems,combined_quad_elems_ls,combined_quad_time,combined_quad_time_ls
side_lg_1.dat,1834,1834,0.0528,0.0528,0.9816,19,106,88.17,2.005,1994,2332,0.0463,0.0791,0.9776,13,130,145.995,3.592,3050,3050,0.1033,0.1033,0.846,8,213,961.976,9.477,3079,3079,0.1073,0.1073,0.8375,7,219,1280.64,11.555,2563,2906,0.0718,0.1007,0.8723,10,175,536.813,6.834,2821,3069,0.0888,0.1055,0.8285,8,203,1000.464,9.384
side_lg_0.dat,1864,1864,0.0539,0.0539,0.9809,19,109,97.911,2.086,1676,1950,0.0429,0.0652,0.9689,10,118,108.454,3.355,2943,2943,0.1008,0.1008,0.8913,12,206,756.72,7.051,2866,2866,0.1017,0.1017,0.8218,8,209,1207.605,9.957,2412,2698,0.0706,0.0955,0.9155,11,175,416.911,6.079,2649,2764,0.0854,0.0983,0.8579,8,196,899.59,8.631
side_lg_2.dat,1893,1893,0.0538,0.0538,0.978,19,108,96.389,2.359,1859,2146,0.0426,0.075,0.9601,10,119,145.852,3.684,3005,3005,0.0933,0.0933,0.8678,11,191,768.58,6.826,3016,3016,0.1002,0.1002,0.8697,11,202,989.563,7.564,2398,2985,0.0572,0.1082,0.8718,9,156,458.025,5.958,2551,3048,0.0694,0.1088,0.84,9,174,822.838,8.089
side_lg_49.dat,1544,1544,0.0508,0.0508,0.9855,17,100,71.542,2.286,1666,2114,0.0473,0.0821,0.9642,9,120,146.382,4.102,2754,2754,0.0991,0.0991,0.8203,13,196,937.572,9.408,2752,2752,0.1033,0.1033,0.8107,11,202,1216.989,10.268,2258,2706,0.066,0.1011,0.945,10,161,296.066,4.195,2483,2748,0.0801,0.1039,0.8011,10,180,1009.015,9.803
side_lg_48.dat,1770,1770,0.0547,0.0547,0.9823,16,107,91.824,2.293,1623,1990,0.0382,0.0728,0.9813,6,103,87.988,2.236,2741,2741,0.0943,0.0943,0.8171,7,180,855.111,7.649,2695,2695,0.0956,0.0956,0.778,6,182,1212.83,9.294,2225,2697,0.0649,0.1079,0.8666,3,151,437.567,6.05,2478,2892,0.0753,0.1116,0.8633,3,168,761.385,6.239
side_lg_3.dat,1964,1964,0.0666,0.0666,0.9747,23,126,127.129,4.338,1622,1848,0.0516,0.0699,0.9833,13,120,115.474,4.008,2826,2826,0.1023,0.1023,0.8542,16,196,795.431,7.967,2846,2846,0.1061,0.1061,0.8415,13,200,1003.139,8.355,2164,2566,0.0698,0.0975,0.8585,12,158,436.505,7.566,2507,2823,0.0868,0.1079,0.8491,13,187,800.606,9.011
side_lg_7.dat,1661,1661,0.0489,0.0489,0.9758,19,105,100.186,2.461,1657,1895,0.0413,0.0602,0.9676,16,111,122.15,3.161,2708,2708,0.0846,0.0846,0.8279,12,183,840.814,8.032,2627,2627,0.0871,0.0871,0.7627,10,187,1191.492,10.533,2259,2638,0.0643,0.0943,0.8595,10,160,495.265,7.328,2464,2742,0.0707,0.0964,0.7901,10,175,975.272,9.472
side_lg_6.dat,1556,1556,0.0525,0.0525,0.9742,18,101,97.478,2.587,1653,2159,0.0505,0.0894,0.9584,7,120,159.666,4.883,2543,2543,0.0925,0.0925,0.8337,10,175,770.25,7.495,2520,2520,0.099,0.099,0.8092,9,185,1184.967,9.222,1829,2379,0.0536,0.0992,0.8788,8,134,409.442,6.117,2294,2600,0.0793,0.1063,0.8751,10,173,718.086,7.57
side_lg_4.dat,1917,1917,0.0604,0.0604,0.9748,19,119,118.415,2.958,1839,2260,0.0479,0.0875,0.9366,7,125,189.765,4.805,2724,2724,0.0948,0.0948,0.854,11,184,775.706,6.921,2709,2709,0.1012,0.1012,0.8322,9,200,1079.786,8.946,2262,2653,0.0628,0.1006,0.8989,10,153,384.697,5.07,2508,2807,0.0799,0.1073,0.8453,8,181,817.463,7.83
side_lg_5.dat,1743,1743,0.0547,0.0547,0.9737,13,107,118.371,2.592,1615,1784,0.0418,0.0605,0.9772,4,108,113.975,2.798,2579,2579,0.086,0.086,0.8262,3,178,829.711,7.89,2520,2520,0.0901,0.0901,0.7789,3,185,1235.507,10.309,2120,2609,0.0585,0.0979,0.8837,4,150,392.443,5.75,2319,2671,0.0721,0.1023,0.8063,2,172,950.591,9.508
